filename,width,height,class,xmin,ymin,xmax,ymax
1_E.jpg,273,364,Out of Plane Stiffener,204,61,233,242
1_E.jpg,273,364,Out of Plane Stiffener,45,149,64,318
1_E.jpg,273,364,Out of Plane Stiffener,2,181,21,323
1_E.jpg,273,364,Gusset Plate Connection,178,237,237,295
1_E.jpg,273,364,Gusset Plate Connection,121,164,159,213
1_E.jpg,273,364,Gusset Plate Connection,181,26,224,64
2_E.jpg,364,273,Out of Plane Stiffener,144,168,177,273
2_E.jpg,364,273,Out of Plane Stiffener,218,170,277,273
2_E.jpg,364,273,Out of Plane Stiffener,330,183,364,273
3_E.jpg,364,273,Out of Plane Stiffener,146,0,172,198
3_E.jpg,364,273,Out of Plane Stiffener,220,3,258,201
3_E.jpg,364,273,Bearing,131,207,187,273
3_E.jpg,364,273,Bearing,211,209,276,273
3_E.jpg,364,273,Out of Plane Stiffener,0,0,17,199
4_E.jpg,400,300,Out of Plane Stiffener,128,64,161,267
4_E.jpg,400,300,Out of Plane Stiffener,62,113,83,240
4_E.jpg,400,300,Gusset Plate Connection,54,209,80,233
4_E.jpg,400,300,Gusset Plate Connection,57,112,87,130
4_E.jpg,400,300,Out of Plane Stiffener,37,149,50,210
5_E.jpg,400,300,Out of Plane Stiffener,184,152,208,221
5_E.jpg,400,300,Out of Plane Stiffener,43,193,59,254
5_E.jpg,400,300,Out of Plane Stiffener,132,219,144,273
5_E.jpg,400,300,Out of Plane Stiffener,262,256,273,299
5_E.jpg,400,300,Gusset Plate Connection,92,238,112,264
5_E.jpg,400,300,Gusset Plate Connection,295,290,307,299
5_E.jpg,400,300,Bearing,178,221,214,255
5_E.jpg,400,300,Bearing,82,269,110,298
6_E.jpg,354,265,Gusset Plate Connection,120,82,157,122
6_E.jpg,354,265,Gusset Plate Connection,108,170,144,215
6_E.jpg,354,265,Gusset Plate Connection,287,171,326,214
6_E.jpg,354,265,Gusset Plate Connection,284,84,323,122
6_E.jpg,354,265,Out of Plane Stiffener,47,2,105,252
6_E.jpg,354,265,Gusset Plate Connection,184,179,215,190
6_E.jpg,354,265,Out of Plane Stiffener,266,114,283,195
6_E.jpg,354,265,Out of Plane Stiffener,280,119,299,172
6_E.jpg,354,265,Bearing,255,209,300,233
6_E.jpg,354,265,Out of Plane Stiffener,112,119,135,172
7_E.jpg,400,300,Bearing,45,22,400,216
7_E.jpg,400,300,Out of Plane Stiffener,98,0,127,40
7_E.jpg,400,300,Out of Plane Stiffener,180,0,209,29
7_E.jpg,400,300,Out of Plane Stiffener,240,1,264,19
8_E.jpg,400,300,Bearing,46,58,400,235
8_E.jpg,400,300,Out of Plane Stiffener,90,1,117,48
8_E.jpg,400,300,Out of Plane Stiffener,181,0,207,44
8_E.jpg,400,300,Out of Plane Stiffener,240,0,265,44
9_E.jpg,400,300,Bearing,64,161,228,266
9_E.jpg,400,300,Bearing,197,153,337,223
9_E.jpg,400,300,Out of Plane Stiffener,134,40,192,158
