filename,width,height,class,xmin,xmax,ymin,ymax
1_T.jpg,400,300,Bearing,83,224,175,270
1_T.jpg,400,300,Bearing,25,97,189,272
1_T.jpg,400,300,OutofPlaneStiffener,92,146,1,173
2_T.jpg,362,272,OutofPlaneStiffener,130,154,70,122
2_T.jpg,362,272,OutofPlaneStiffener,216,233,104,139
2_T.jpg,362,272,OutofPlaneStiffener,259,274,122,150
2_T.jpg,362,272,OutofPlaneStiffener,216,224,142,164
2_T.jpg,362,272,OutofPlaneStiffener,134,152,128,156
2_T.jpg,362,272,OutofPlaneStiffener,159,174,134,168
2_T.jpg,362,272,Bearing,315,357,163,183
2_T.jpg,362,272,GussetPlateConnection,93,125,56,120
3_T.jpg,400,300,Bearing,98,227,0,56
3_T.jpg,400,300,Bearing,203,374,0,53
4_T.jpg,300,400,Bearing,142,211,36,90
4_T.jpg,300,400,GussetPlateConnection,43,87,0,82
5_T.jpg,400,300,Bearing,110,400,12,299
6_T.jpg,364,273,OutofPlaneStiffener,224,267,0,130
7_T.jpg,364,273,OutofPlaneStiffener,4,24,9,135
7_T.jpg,364,273,OutofPlaneStiffener,24,38,35,135
7_T.jpg,364,273,OutofPlaneStiffener,137,171,0,157
7_T.jpg,364,273,OutofPlaneStiffener,110,129,3,141
8_T.jpg,273,364,OutofPlaneStiffener,172,208,122,364
8_T.jpg,273,364,OutofPlaneStiffener,150,171,218,364
8_T.jpg,273,364,OutofPlaneStiffener,5,50,199,364
8_T.jpg,273,364,OutofPlaneStiffener,45,65,243,363
9_T.jpg,364,273,OutofPlaneStiffener,98,148,0,124
9_T.jpg,364,273,OutofPlaneStiffener,41,73,0,100
10_T.jpg,364,273,Bearing,151,182,162,187
10_T.jpg,364,273,Bearing,141,157,161,184
10_T.jpg,364,273,Bearing,255,276,169,189
10_T.jpg,364,273,Bearing,242,260,169,189
10_T.jpg,364,273,Bearing,302,314,175,191
10_T.jpg,364,273,Bearing,314,325,175,190
